manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,attrib__arm_height,attrib__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__design_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,attrib__pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,boxes__3__weight,boxes__3__length,boxes__3__height,boxes__3__width,product__styles
3129-1149,081-800803392-6,3.3,2.8,23.6,16.1,True,49.8,89.64,False,Decorative Accent,Dimond Lighting,Ascencio Hinged Candle Holders,A ascencio hinged candle holders in a rust finish made of metal,,,,,,,,finish,1,CHN,O-1000929,,,,,,,,,,,,,Rust,,,,,,Metal,,,,,,,,,,,,,,,,5,22,18,16,,,,,,,,,,,,,Modern
8903-071,081-800803319-3,1.5,3,5,7,True,33.2,0,False,Decorative Accent,Dimond Lighting,Bambloo Photo Frame,A navy blue bambloo small photo frame made of bone,,,,,,,,finish,1,IND,O-1000935,,,,,,,,,,,,,Navy Blue,,,,,,Bone,,,,,,,,,Large,,,,,,,3,14,20,13,,,,,,,,,,,,,"Coastal, Eclectic & Global"
7011-1034,081-800803463-3,63,16,32,30,True,322.66,0,False,Furniture,Dimond Lighting,Bedford Bedside Table,A dove white and gray bedford fabric wrapped 2 drawer bedside table made of Mahogany and  Wood Composite and Fabric,"Wrapped in Cotton, Polyester.",,,,,,,finish,1,IDN,O-1000940,,,,,,,,,,,,,"Dove White, Gray",,,,,,"Mahogany, Wood Composite, Fabric",,,,,,,,,,,,,,,,63,18,34,18,,,,,,,,,,,,,"Coastal, Cottage & Farmhouse"
