manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,attrib__arm_height,attrib__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__design_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,attrib__pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,product__styles
D3559,081-800803815-0,5.7,17.0,17.0,21.0,True,179.0,322.2,,Indoor Lighting,Dimond Lighting,A Loom In Essence Pendant,"Our textile-inspired ‘A Loom In Essence' pendant forms a massive dome of hand-loomed rope woven in thick white plaits. Offers excellent design range, unique textural complexity, and soft neutral color. Perfect for adding big contrast to a small modern space.",,,,,,,,,1.0,CHN,,,,,,No,A19,,,,,,,White,,,,,,Rope,1.0,,No,,,,,,,,UL,,100.0,,,24.0,23.0,20.0,20.0,,,,,,,,,Transitional
D355-LED,074-811908133-5,7.0,16.0,16.0,27.0,True,109.0,196.2,,Indoor Lighting,Dimond Lighting,Glass Bottle LED Table Lamp In Gold Antique Mercury Glass,"This Lamp Is Part Of A Collection That Is Relaxed, Comfortable And Pure With A Focus On Light Color And Metallics. Tonal Whites, Neutrals, Soft Gold, Silver And Copper Hues Dominate This Sensibility. The Collection Also Makes Use Of Interesting Textures,","Includes dimmable, easily replaceable 9.5 watt 800 lumen screw-in LED bulb",,,,,,,,1.0,CHN,,,,,,Yes,A21 LED 3-Way,,,,,,,"Antique Gold Mercury, Polished Nickel",,,No,,,"Glass, Metal",1.0,,No,,,,,,,3-Way,UL,,9.5,,,9.0,26.0,23.0,11.0,,,,,,,,,Transitional
D3560,081-800803816-7,1.7,9.0,9.0,11.0,True,63.0,113.4,,Indoor Lighting,Dimond Lighting,Whoave Pendant,,,,,,,,,,1.0,CHN,,,,,,No,A19,,,,,,,Natural,,,,,,Rattan,1.0,,No,,,,,,,,UL,,100.0,,,12.0,12.8,11.0,11.0,,,,,,,,,Transitional
D3561,081-800803817-4,1.8,7.0,7.0,15.0,True,59.0,106.2,,Indoor Lighting,Dimond Lighting,Haute Cross Pendant,,,,,,,,,,1.0,CHN,,,,,,No,A19,,,,,,,Black,,,,,,Rattan,1.0,,No,,,,,,,,UL,,100.0,,,17.0,16.9,9.0,9.0,,,,,,,,,Transitional
D3562,081-800803806-8,5.0,5.3,10.0,17.2,True,106.0,190.8,,Indoor Lighting,Dimond Lighting,Massive Impact Wall Sconce,"The Massive Impact Wall Sconces places precision metal'wake trails' amidst a hail of raw rock crystal, creating a high-energy crossfire of “projectile” energies. Lavished in an immaculate Antique Gold. Enhance the look with one of our exposed filament bulbs.",,,,,,,,,1.0,CHN,,,,,,No,B11,,,,,,,Antique Gold,,,,,,"Metal, Rock Crystal",1.0,,No,,,,,,,,UL,,60.0,,,9.0,19.69,7.87,11.81,,,,,,,,,Modern / Contemporary
D3563,081-800803807-5,24.2,42.0,42.0,15.0,True,620.0,1116.0,,Indoor Lighting,Dimond Lighting,Luft Chandelier,,,,,,,,,,1.0,CHN,,,,,,No,B11,,,,,,,Brown,,,,,,"Glass, Metal",16.0,,No,,,,,,,,UL,,40.0,,,28.2,30.0,20.0,30.0,,,,,,,,,Modern / Contemporary
D3564,081-800803808-2,19.0,37.0,60.0,30.0,True,673.0,1211.4,,Indoor Lighting,Dimond Lighting,Linear Synapse Chandelier,"The Synapse collection echoes the astonishing beauty of electrochemical transmission, linking silky orbs of Smoke Grey glass with a dynamic “impulse network” sheathed in immaculate New Aged Brass. Offers generous scale, cutting edge technology and a strong dose of transdisciplinary glamour. #lightisstimulation",,,,,,,,,2.0,CHN,,,,,,No,B11,,,,,,,"New Aged Brass, Smoke Grey",,,,,,"Glass, Metal",9.0,,No,,,,,,,,UL,,40.0,,,23.0,48.0,18.0,23.0,23.0,48.0,18.0,23.0,,,,,Modern / Contemporary
D3565,081-800803809-9,15.0,30.0,30.0,47.0,True,491.0,883.8,,Indoor Lighting,Dimond Lighting,Medium Synapse Chandelier,"The Synapse collection echoes the astonishing beauty of electrochemical transmission, linking silky orbs of Smoke Grey glass with a dynamic “impulse network” sheathed in immaculate New Aged Brass. Offers generous scale, cutting edge technology and a strong dose of transdisciplinary glamour. #lightisstimulation",,,,,,,,,2.0,CHN,,,,,,No,B11,,,,,,,"New Aged Brass, Smoke Grey",,,,,,"Glass, Metal",7.0,,No,,,,,,,,UL,,40.0,,,13.0,47.0,8.0,25.0,10.0,20.0,11.0,38.0,,,,,Modern / Contemporary
D3566,081-800803810-5,24.0,32.0,35.0,58.0,True,748.0,1346.4,,Indoor Lighting,Dimond Lighting,Large Synapse Chandelier,"The Synapse collection echoes the astonishing beauty of electrochemical transmission, linking silky orbs of Smoke Grey glass with a dynamic “impulse network” sheathed in immaculate New Aged Brass. Offers generous scale, cutting edge technology and a strong dose of transdisciplinary glamour. #lightisstimulation",,,,,,,,,1.0,CHN,,,,,,No,B11,,,,,,,"New Aged Brass, Smoke Grey",,,,,,"Glass, Metal",11.0,,No,,,,,,,,UL,,40.0,,,28.0,30.0,18.0,22.0,,,,,,,,,Modern / Contemporary
D3567,081-800803811-2,22.0,33.0,33.0,31.0,True,705.0,1269.0,,Indoor Lighting,Dimond Lighting,Ice Geist Pendant,,,,,,,,,,1.0,CHN,,,,,,No,B11,,,,,,,"Clear Crystal, Polished Nickel",,,,,,"Crystal, Metal",8.0,,No,,,,,,,,UL,,60.0,,,24.0,20.0,16.0,20.0,,,,,,,,,Modern / Contemporary
