manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,attrib__arm_height,attrib__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__design_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,attrib__pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,boxes__3__weight,boxes__3__length,boxes__3__height,boxes__3__width,product__styles
285,810937002851,11.00,18.00,18.00,32.00,https://s3-us-west-2.amazonaws.com/elk-assets/P65-00E.pdf,246,$492.00,False,Indoor Lighting,Dimond Lighting,Lattice-Handled Ceramic Urn Table Lamp In White,,base measures 12.5x18,,,,,,,Active,1,China,285,,Yes,Ceramic,Porcelain,No,A21 3-Way,,,Active,Dimond Lighting,Active,Active,Active,Active,Active,No,Active,Active,Linen,1,Active,No,Active,,,,Round Hardback Linen Shade With Rolled Edge,Active,3-Way,UL,Active,150,Active,,12.00,37.00,18.20,18.20,,,,,,,,,
287,810937002875,6.00,7.00,7.00,14.00,https://s3-us-west-2.amazonaws.com/elk-assets/P65-00E.pdf,84,$168.00,False,Indoor Lighting,Dimond Lighting,White Ceramic Up-Light,,,,,,,,,Active,1,China,287,,Yes,Porcelain,White,No,A19,,,Active,Dimond Lighting,Active,Active,Active,Active,Active,No,Active,Active,,1,Active,No,Active,,,,No Shade,Active,On-Off Line Switch,UL,Active,60,Active,,7.00,18.00,8.20,8.20,,,,,,,,,
289,810937002899,7.00,15.00,14.00,24.00,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.pdf,159,$318.00,False,Indoor Lighting,Dimond Lighting,Jute-Wrapped Mercury Glass Table Lamp,,6.5-Inch wide base,,,,,,,Active,1,China,289,,Yes,"Glass, Componise",Mercury,No,A21 3-Way,,66,Active,Dimond Lighting,Active,Active,Active,Active,Active,No,Active,Active,Burlap,1,Active,No,Active,,,,Round Hardback Burlap Shade with Rolled Edges,Active,3-Way,UL,Active,100,Active,,10.00,26.20,15.20,15.20,,,,,,,,,Transitional
316,810937003162,10.00,14.00,14.00,33.00,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.pdf,142.5,$285.00,False,Indoor Lighting,Dimond Lighting,Serrated Venetian Glass Table Lamp In Clear And Gold,,6-Inch wide base,,,,,,,Active,1,China,316,,Yes,Glass,Clear,No,A21 3-Way,,66,Active,Dimond Lighting,Active,Active,Active,Active,Active,No,Active,Active,Fabric,1,Active,No,Active,,,,Round Hardback White Fabric Shade,Active,3-Way,UL,Active,100,Active,,12.00,12.00,23.50,12.00,,,,,,,,,Traditional
319,810937003193,10.00,10.00,19.00,27.00,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.pdf,150,$300.00,False,Indoor Lighting,Dimond Lighting,Hand Blown Oval Glass Table Lamp In Orange,,10-Inch wide base,,,,,,,Active,1,China,319,,Yes,Glass,Orange,No,A21 3-Way,,,Active,Dimond Lighting,Active,Active,Active,Active,Active,No,Active,Active,Fabric,1,Active,No,Active,,,,Oval Hardback White Fabric Shade,Active,3-Way,UL,Active,100,Active,,12.00,20.00,19.30,17.00,,,,,,,,,Modern / Contemporary
340,810937003407,12.00,18.00,18.00,32.00,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.pdf,271.5,$543.00,False,Indoor Lighting,Dimond Lighting,Bisque Ceramic Table Lamp In Dark Taupe,,10-Inch wide base,,,,,,,Active,1,China,340,,Yes,Ceramic,Dark Taupe,No,A21 3-Way,,,Active,Dimond Lighting,Active,Active,Active,Active,Active,No,Active,Active,Fabric,1,Active,No,Active,,,,Round Hardback Black Fabric Shade,Active,3-Way,UL,Active,100,Active,,14.00,35.30,18.50,18.50,,,,,,,,,Transitional
352,810937003520,5.00,10.00,19.00,26.00,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.pdf,208.5,$417.00,False,Indoor Lighting,Dimond Lighting,Wild Wheat Acrylic Table Lamp With Night Light,,10-Inch wide base,,,,,,,Active,1,China,352,,Yes,"Grass, Polyresin",Beige,No,A21 3-Way,,,Active,Dimond Lighting,Active,Active,Active,Active,Active,No,Active,Active,Fabric,1,Active,No,Active,,,,Rectangular White Fabric Hardback Shade,Active,3-Way,UL,Active,100,Active,,7.00,20.30,10.20,17.50,,,,,,,,,Modern / Contemporary
401,810937004015,2.00,12.00,12.00,16.25,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.pdf,184.5,$369.00,False,Indoor Lighting,Dimond Lighting,Cigar Pendant In White,,,,,,,,,Active,1,China,401,,Yes,Rice Paper,White,No,A19,,,Active,Dimond Lighting,Active,Active,Active,Active,Active,No,Active,Active,Fabric,1,Active,No,Active,,,,Round White Fabric Shade,Active,,UL,Active,100,Active,,4.00,18.20,12.00,12.00,,,,,,,,,Modern / Contemporary
402,810937004022,8.00,10.00,10.00,22.00,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.pdf,238.5,$477.00,False,Indoor Lighting,Dimond Lighting,Cigar Swingarm Wall Sconce In White,,20.5-Inch wide base,,,,,,,Active,1,China,402,,Yes,Metal,Satin Nickel,No,A19,,,Active,Dimond Lighting,Active,Active,Active,Active,Active,No,Active,Active,Fabric,1,Active,No,Active,,,,Round White Fabric Shade,Active,,UL,Active,100,Active,,9.00,22.60,12.00,12.00,,,,,,,,,Modern / Contemporary
444,810937004442,18.00,14.00,14.00,64.00,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.pdf,465,$930.00,False,Indoor Lighting,Dimond Lighting,Wooden Tulip Floor Lamp,,10-Inch wide base,,,,,,,Active,1,China,444,,Yes,"Metal, Wood",Wood Tone,No,A21 3-Way,,72,Active,Dimond Lighting,Active,Active,Active,Active,Active,No,Active,Active,Fabric,1,Active,No,Active,,,,Round Hardback White Fabric Shade,Active,3-Way,UL,Active,100,Active,,29.00,17.00,41.00,16.00,,,,,,,,,Modern / Contemporary
