manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,attrib__arm_height,attrib__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__design_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,attrib__pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,boxes__3__weight,boxes__3__length,boxes__3__height,boxes__3__width,product__styles
,810937002035.0,6.0,18.0,18.0,36.0,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.jpg,228.0,304.0,,Indoor Lighting,Dimond Lighting,,,,,,,,,,,,China,,,,,,,A21 3-Way,,66.0,,,,,White,,,No,,,Glass,1.0,,No,,,,,,,3-Way,UL,,100.0,,,10.0,19.0,34.0,19.0,,,,,,,,,,,,,Modern / Contemporary
,810937002059.0,12.0,18.0,18.0,31.0,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.jpg,229.5,306.0,,Indoor Lighting,Dimond Lighting,,,,,,,,,,,,China,,,,,,,A21 3-Way,,66.0,,,,,Celadon,,,No,,,Ceramic,1.0,,No,,,,,,,3-Way,UL,,100.0,,,14.0,21.0,18.2,18.2,,,,,,,,,,,,,Traditional
,810937002080.0,7.0,10.0,10.0,27.0,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.jpg,201.0,268.0,,Indoor Lighting,Dimond Lighting,,,,,,,,,,,,China,,,,,,,A21 3-Way,,66.0,,,,,Taupe,,,No,,,Ceramic,1.0,,No,,,,,,,3-Way,UL,,100.0,,,10.0,27.7,12.0,12.0,,,,,,,,,,,,,Modern / Contemporary
,810937002103.0,8.0,20.0,20.0,25.0,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.jpg,151.5,202.0,,Indoor Lighting,Dimond Lighting,,,,,,,,,,,,China,,,,,,,A21 3-Way,,66.0,,,,,Blue,,,No,,,"Recycled Glass, Acrylic",1.0,,No,,,,,,,3-Way,UL,,100.0,,,10.0,21.0,23.0,21.0,,,,,,,,,,,,,Traditional
,810937002172.0,10.0,18.0,18.0,34.0,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.jpg,219.0,292.0,,Indoor Lighting,Dimond Lighting,,,,,,,,,,,,China,,,,,,,A21 3-Way,,66.0,,,,,Silver,,,No,,,Glass,1.0,,No,,,,,,,3-Way,UL,,100.0,,,12.0,25.9,18.2,18.2,,,,,,,,,,,,,Modern / Contemporary
,810937002394.0,7.0,18.0,18.0,28.0,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.jpg,157.5,210.0,,Indoor Lighting,Dimond Lighting,,,,,,,,,,,,China,,,,,,,A21 3-Way,,,,,,,Amber Crackle,,,No,,,Glass,1.0,,No,,,,,,,3-Way,UL,,100.0,,,10.0,19.0,21.3,19.0,,,,,,,,,,,,,Transitional
,810937002486.0,10.0,16.0,16.0,24.0,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.jpg,159.0,212.0,,Indoor Lighting,Dimond Lighting,,,,,,,,,,,,China,,,,,,,A21 3-Way,,,,,,,Tomato Red,,,No,,,Ceramic,1.0,,No,,,,,,,3-Way,UL,,100.0,,,12.0,25.5,14.5,11.5,,,,,,,,,,,,,Transitional
,810937002714.0,8.0,18.0,18.0,28.0,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.jpg,181.5,242.0,,Indoor Lighting,Dimond Lighting,,,,,,,,,,,,China,,,,,,,A21 3-Way,,,,,,,White,,,No,,,Ceramic,1.0,,No,,,,,,,3-Way,UL,,100.0,,,11.0,29.7,14.0,16.2,,,,,,,,,,,,,Traditional
,810937002769.0,10.0,16.0,16.0,30.0,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.jpg,148.5,198.0,,Indoor Lighting,Dimond Lighting,,,,,,,,,,,,China,,,,,,,A21 3-Way,,,,,,,Matte,,,No,,,Ceramic,1.0,,No,,,,,,,3-Way,UL,,100.0,,,13.0,18.0,25.3,18.0,,,,,,,,,,,,,Traditional
,810937002813.0,18.0,18.0,18.0,64.0,https://s3-us-west-2.amazonaws.com/elk-assets/P65-01A.jpg,405.0,540.0,,Indoor Lighting,Dimond Lighting,,,,,,,,,,,,China,,,,,,,A21 3-Way,,,,,,,"Modern Wood, White Bisque",,,No,,,"Ceramic, Wood",1.0,,No,,,,,,,3-Way,UL,,150.0,,,20.0,50.3,19.0,19.0,,,,,,,,,,,,,Modern / Contemporary
